UNIQUE_ID,Rev_17_GeoPod,Rev_17_B,Rev_17_C,Vol_17_GeoPod,Vol_17_B,Vol_17_C,Rev_17_GeoPod_Logistics,Rev_17_GeoPod_HR,Rev_17_GeoPod_Finance,Vol_17_GeoPod_Logistics,Vol_17_GeoPod_HR,Vol_17_GeoPod_Finance,Vol_17_Death_Event,Vol_17_Birth_Event,Vol_17_COA,Vol_17_COA_Win,Rev_17_D,Rev_17_E,Rev_17_F,Rev_17_G,Rev_17_H,Rev_17_I,Vol_17_D,Vol_17_E,Vol_17_F,Vol_17_G,Vol_17_H,Vol_17_I,Ind_2013_pushback,Ind_2014_pushback,Ind_2015_pushback,Ind_2016_pushback,Ind_2017_pushback,DataCorp_Market_Share,Major_competitor_market_share,Other_competitor_market_share,Tenure_months,Market_Segment,Sub_Segment,Sales_Person_Jun_17,RSM_Jun_17,Director_Jun_17,VP_Jun_17,Sales_Person_Dec_17,RSM_Dec_17,Director_Dec_17,VP_Dec_17,Discount_17,Count_Entities,Count_Jurisdicion,Price_Point,Vol_16_GeoPod_Logistics,Vol_16_GeoPod_HR,Vol_16_GeoPod_Finance,Vol_16_D,Vol_16_E,Vol_16_F,Vol_16_G,Vol_16_H,Vol_16_I,Attrition_Flag
20,148458.28,648.24,0,1533,6,0,126.33,1816.35,146515.6,1,58,1474,1,20,0,0,26480.5,0,0,5385,0,0,233,0,0,5385,0,0,0,0,0,0,0,0.96,0.01,0.03,107,Large Business,Multinational Banks,SP55,M7,D5,VP 2,SP55,M7,D5,VP 1,0.66755853,145,51,0.292,1,1461,57,457,0,0,2350,0,0,0
37,48796.95,0,0,294,0,0,209,897.45,47690.5,1,3,290,4,14,2,0,4779,0,0,50,0,0,41,0,0,50,0,0,0,0,0,0,0,0.96,0,0.04,200,Large Business,Credit Unions,SP20,M19,D14,VP 2,SP20,M18,D18,VP 1,0.45,32,49,0.283,1,278,6,109,1,0,7,0,0,0
44,1875,0,0,7,0,0,380,0,1495,1,1,5,0,2,0,0,519,0,0,1,0,0,8,0,0,1,0,0,0,0,0,0,0,0.8,0,0.2,24,Small Business,Small Business,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,0,1,6,0.066,1,3,0,0,0,0,0,0,0,0
48,1009.2,0,0,8,0,0,0,218.69,790.51,0,1,7,0,0,0,0,0,0,0,14,0,0,1,0,0,14,0,0,0,0,0,0,0,0.73,0,0.27,77,Small Business,Small Business,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,0.62230769,1,7,-0.6,0,6,1,0,0,0,0,0,0,0
72,9781.23,234.85,0,46,1,0,274.59,1.71E-13,9506.64,1,1,44,0,1,0,0,12889,0,0,24,0,0,120,0,0,24,0,0,0,0,0,0,0,,,,58,Large Business,Multinational Banks,SP108,M11,D8,VP 2,SP86,M11,D10,VP 1,0.2773913,8,30,-0.08,1,39,0,245,0,0,0,0,0,0
78,1077.17,0,0,59,0,0,0,489.09,588.08,0,51,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73,0,0.27,107,Large Business,Multinational Banks,SP108,M11,D8,VP 2,SP86,M11,D10,VP 1,0.75414716,2,8,-0.72,0,8,51,0,0,0,0,0,0,0
79,18763.34,0,0,118,0,0,203.34,1.42E-13,18560,1,1,116,54,2,0,0,2773.28,0,5419.76,287,0,0,26,0,37,298,0,0,0,0,0,0,0,0.95,0.01,0.04,133,Small Business,Small Business,SP38,M16,D13,VP 2,SP38,M16,D18,VP 1,0.46488294,15,50,0.095,1,172,0,24,0,73,0,0,0,0
105,16840.86,0,0,154,0,0,137.96,420.4,16282.5,1,3,150,0,1,0,0,0,0,0,84,0,0,0,0,0,84,0,0,0,0,0,0,0,0.99,0,0.01,80,Large Business,Credit Unions,SP136,M2,D2,VP 2,SP136,M2,D18,VP 1,0.63695652,24,49,-0.28,1,150,2,0,0,0,0,0,0,0
117,9649,0,0,33,0,0,380,0,9269,1,1,31,0,2,0,0,969,0,0,2,0,0,5,0,0,2,0,0,0,0,0,0,0,,,,88,Large Business,Credit Unions,SP51,M19,D14,VP 2,SP51,M18,D18,VP 1,0,12,16,0.405,1,29,0,2,0,0,0,0,0,0
123,3485.55,0,0,13,0,0,361,0,3124.55,1,1,11,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0.25,0.5,0.25,287,Small Business,Small Business,SP41,M8,D6,VP 2,SP41,M5,D16,VP 1,0.05,9,4,0.023,1,13,0,0,0,0,0,0,0,0
125,26589.51,0,0,159,0,0,213.51,-1.59E-12,26376,1,1,157,5,23,0,0,1232,0,0,136,11533,0,16,0,0,136,2,0,0,0,0,0,0,0.96,0.01,0.03,22,Large Business,Multinational Banks,SP32,M19,D14,VP 2,SP32,M18,D18,VP 1,0.43812709,50,48,0.09,1,143,0,38,0,0,0,2,0,0
130,2772,0,0,10,0,0,380,0,2392,1,1,8,0,0,0,0,55,0,0,5,0,0,1,0,0,5,0,0,0,0,0,0,0,0.26,0.41,0.33,265,Small Business,Small Business,SP125,M12,D9,VP 2,SP125,M12,D5,VP 1,0,7,4,0.203,1,8,0,1,0,0,0,0,0,0
142,1495,0,0,5,0,0,0,0,1495,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.67,0,0.33,80,Small Business,Small Business,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,0,2,5,0.015,0,5,0,0,0,0,0,0,0,0
144,4566,0,0,16,0,0,380,0,4186,1,1,14,0,1,0,0,0,0,0,22,0,0,0,0,0,31,0,0,0,0,0,0,0,0.94,0,0.06,287,Large Business,Multinational Banks,SP108,M11,D8,VP 2,SP86,M11,D10,VP 1,0,7,3,0.146,1,13,0,0,0,0,0,0,0,0
149,3370,0,0,12,0,0,380,0,2990,1,1,10,0,0,0,0,0,0,0,6,0,0,1,0,0,6,0,0,0,0,0,0,0,0.92,0.08,0,255,Large Business,Credit Unions,SP41,M8,D6,VP 2,SP41,M5,D16,VP 1,0,3,7,0.108,1,10,0,0,0,0,0,0,0,0
156,14566.27,0,0,298,0,0,62.27,4.33E-13,14504,1,1,296,12,7,0,1,54595.96,0,8798.4,734,0,0,600,0,141,734,0,0,0,0,0,0,0,0.85,0.07,0.09,92,Large Business,Multinational Banks,SP32,M19,D14,VP 2,SP32,M18,D18,VP 1,0.8361204,91,41,-0.62,1,443,0,387,0,181,0,0,0,0
159,66892.65,633.75,0,342,3,0,247,955.35,65690.3,1,3,338,8,8,0,0,40250,0,9700,284,0,0,551,0,135,284,0,0,0,0,0,0,0,0.99,0,0.01,83,Large Business,Multinational Banks,SP40,M19,D14,VP 2,SP40,M18,D18,VP 1,0.35,147,51,0.516,1,346,2,149,0,20,0,0,0,0
160,89071.27,56.25,125000,1948,1,101,65.77,1755,87250.5,1,261,1686,25,60,0,2,5960,0,0,1218,13812,0,71,0,0,1218,3,0,0,0,0,0,0,0.97,0,0.02,168,Large Business,Multinational Banks,SP111,M7,D5,VP 2,SP111,M7,D5,VP 1,0.82692308,317,51,-0.33,1,1606,260,129,0,0,0,4,0,0
167,3554.55,0,0,37,0,0,124.55,1.85E-13,3430,1,1,35,0,0,0,0,0,0,0,108,0,0,0,0,0,108,0,0,0,0,0,0,1,,,,22,Large Business,Credit Unions,SP35,M16,D13,VP 2,SP35,M16,D18,VP 1,0.6722408,8,31,-0.56,1,34,0,0,0,0,11,0,0,0
175,914.08,0,0,6,0,0,220.4,8.53E-14,693.68,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,97,Large Business,Investment Firms,SP106,M12,D9,VP 2,SP106,M12,D5,VP 1,0.42,3,4,-0.36,1,6,0,0,0,0,0,0,0,0
187,16311.53,0,0,126,0,0,165.49,-2.27E-13,16146.04,1,1,124,4,0,0,0,2166,0,0,81,0,0,13,0,0,81,0,0,0,0,0,0,0,0.5,0,0.5,267,Large Business,Multinational Banks,SP10,M11,D8,VP 2,SP10,M11,D10,VP 1,0.56451505,12,49,-0.09,1,128,0,19,0,0,0,0,0,0
193,32896.58,0,7300,314,0,3,133.46,2.76E-12,32763.12,1,1,312,9,26,0,0,6410.55,0,0,21,24000,0,166,0,0,100,2,0,0,0,0,0,0,0.4,0.51,0.09,127,Large Business,Investment Firms,SP31,M12,D9,VP 2,SP31,M12,D5,VP 1,0.64879599,207,47,-0.11,1,334,0,254,0,0,0,4,0,0
196,7101.25,0,0,25,0,0,0,0,7101.25,0,0,25,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0.25,0,0.75,138,Small Business,Small Business,SP60,M9,D7,VP 2,SP60,M9,D10,VP 1,0.05,2,18,0.248,0,22,0,0,0,0,0,0,0,0
204,51855.78,810.2,0,279,4,0,236.83,1.73E-12,51618.95,1,1,277,2,1,9,0,7135.6,0,0,2792,6165,0,89,0,0,2795,2,0,0,0,0,0,0,0.82,0,0.18,22,Large Business,Multinational Banks,SP15,M2,D2,VP 2,SP15,M2,D18,VP 1,0.37675585,23,51,0.64,1,337,1,33,0,0,11,2,0,0
214,10589.6,0,0,45,0,0,304,0,10285.6,1,1,43,0,0,0,0,202,0,0,163,0,0,4,0,0,0,0,0,0,0,0,0,0,,,,,Large Business,Multinational Banks,SP130,M11,D8,VP 2,SP87,M11,D10,VP 1,0.2,1,44,0.021,1,43,0,8,0,0,17,0,0,1
226,30795.71,903.84,0,222,6,0,176.13,268.37,30351.21,1,2,219,1,3,0,0,8756.38,0,8614,277,0,0,300,0,100,178,0,0,0,0,0,0,0,0.96,0.01,0.03,19,Large Business,Multinational Banks,SP118,M16,D13,VP 2,SP118,M16,D18,VP 1,0.53648829,53,50,0.148,1,248,1,156,0,49,70,0,0,0
228,12007.05,0,0,43,0,0,361,0,11646.05,1,1,41,0,1,0,0,385,0,0,20,0,0,7,0,0,20,0,0,0,0,0,0,0,0.95,0,0.05,38,Large Business,Credit Unions,SP96,M2,D2,VP 2,SP96,M2,D18,VP 1,0.05,10,25,0.269,1,40,0,9,0,0,0,0,0,0
