UNIQUE_ID,Rev_17_GeoPod,Rev_17_B,Rev_17_C,Vol_17_GeoPod,Vol_17_B,Vol_17_C,Rev_17_GeoPod_Logistics,Rev_17_GeoPod_HR,Rev_17_GeoPod_Finance,Vol_17_GeoPod_Logistics,Vol_17_GeoPod_HR,Vol_17_GeoPod_Finance,Vol_17_Death_Event,Vol_17_Birth_Event,Vol_17_COA,Vol_17_COA_Win,Rev_17_D,Rev_17_E,Rev_17_F,Rev_17_G,Rev_17_H,Rev_17_I,Vol_17_D,Vol_17_E,Vol_17_F,Vol_17_G,Vol_17_H,Vol_17_I,Ind_2013_pushback,Ind_2014_pushback,Ind_2015_pushback,Ind_2016_pushback,Ind_2017_pushback,DataCorp_Market_Share,Major_competitor_market_share,Other_competitor_market_share,Tenure_months,Market_Segment,Sub_Segment,Sales_Person_Jun_17,RSM_Jun_17,Director_Jun_17,VP_Jun_17,Sales_Person_Dec_17,RSM_Dec_17,Director_Dec_17,VP_Dec_17,Discount_17,Count_Entities,Count_Jurisdicion,Price_Point,Vol_16_GeoPod_Logistics,Vol_16_GeoPod_HR,Vol_16_GeoPod_Finance,Vol_16_D,Vol_16_E,Vol_16_F,Vol_16_G,Vol_16_H,Vol_16_I
23,1875,0,0,7,0,0,380,0,1495,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,,Small Business,Small Business,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,0,3,4,0.07,1,5,0,0,0,0,0,0,0
29,47282.47,0,0,359,0,0,167.29,254.9,46860.28,1,2,356,2,3,0,0,14736,0,0,336,0,0,174,0,0,0,0,0,0,0,0,0,0,0.85,0.02,0.13,89,Large Business,Multinational Banks,SP85,M7,D5,VP 2,SP17,M7,D5,VP 1,0.56,79,51,0.28,1,337,1,107,0,0,0,0,0
52,13964.25,0,0,63,0,0,285,0,13679.25,1,1,61,3,0,0,0,509,0,0,10,0,0,3,0,0,24,0,0,0,0,0,0,0,0.83,0,0.17,37,Large Business,Multinational Banks,SP118,M16,D13,VP 2,SP118,M16,D18,VP 1,0.25,31,16,0.24,1,68,0,3,0,0,0,0,0
88,22782.48,0,0,155,0,0,159.6,4539.36,18083.52,1,10,144,1,1,3,0,17952.6,0,0,115,13534,0,213,0,0,115,3,0,0,0,0,0,0,0.96,0,0.04,241,Large Business,Multinational Banks,SP20,M19,D14,VP 2,SP20,M18,D18,VP 1,0.58,38,51,-0.19,1,195,12,410,0,0,0,3,0
134,3223.65,0,0,15,0,0,287.08,0,2936.57,1,1,13,1,1,22,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,Large Business,Multinational Banks,SP68,M16,D13,VP 2,SP68,M16,D18,VP 1,0.24,5,10,-0.08,1,39,0,0,0,0,8,0,0
163,52109.68,3016,12500,297,16,5,220.4,1250.64,50638.64,1,4,292,3,10,0,0,28990.15,0,0,1510,17585.6,0,256,0,0,1518,4,0,0,0,0,0,0,,,,26,Large Business,Multinational Banks,SP18,M16,D13,VP 2,SP18,M16,D18,VP 1,0.42,32,51,0.6,2,283,3,422,0,0,1848,3,0
190,2772,0,0,10,0,0,380,0,2392,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.87,0.07,212,Small Business,Small Business,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,0,9,2,0.07,1,8,0,0,0,0,0,0,0
197,110088.36,0,0,689,0,0,156.56,32322.1,77609.7,1,58,630,1,6,1,0,3825.67,0,0,1778,0,0,32,0,0,1287,0,0,0,0,0,0,0,0.41,0.34,0.25,188,Large Business,Multinational Banks,SP24,M16,D13,VP 2,SP24,M16,D18,VP 1,0.59,86,51,0.48,1,623,37,5,0,0,34,0,0
267,1794,0,0,6,0,0,0,0,1794,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,254,0,0,0,0,0,0,0,0.67,0,0.33,104,Small Business,Small Business,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,0,2,4,0.07,0,6,0,0,0,0,0,0,0
277,6976.64,0,0,33,0,0,274.75,0,6701.89,1,1,31,0,0,0,0,7824,0,0,92,0,0,74,0,0,73,0,0,0,0,0,0,0,0.84,0,0.16,147,Large Business,Credit Unions,SP50,M9,D7,VP 2,SP50,M9,D10,VP 1,0.28,5,26,-0.1,1,31,0,1,0,0,45,0,0
282,82165.38,107.25,4600,876,1,2,125.4,834.57,81205.41,1,52,823,11,31,4,2,48636.07,0,0,428,11712,0,498,0,0,215,2,0,0,0,0,0,0,0.79,0.01,0.2,192,Large Business,Multinational Banks,SP15,M2,D2,VP 2,SP15,M2,D18,VP 1,0.67,322,51,0.17,1,791,51,370,0,0,0,2,0
364,75241.87,0,0,379,0,0,252.8,0,74989.07,1,1,377,2,8,0,7,19185.21,0,0,123,0,0,229,0,0,123,0,0,0,0,0,1,0,0.99,0,0.01,72,Large Business,Multinational Banks,SP20,M19,D14,VP 2,SP20,M18,D18,VP 1,0.33,37,51,0.55,1,335,0,61,0,4,0,0,0
422,19273.31,0,0,199,0,0,122.96,187.35,18963,1,2,196,0,16,0,30,13671.31,0,0,109,0,0,161,0,0,109,0,0,0,0,0,0,0,0.75,0,0.25,46,Large Business,Multinational Banks,SP102,M11,D8,VP 2,SP102,M11,D10,VP 1,0.68,46,44,-0.2,1,149,1,136,0,0,0,0,0
455,4865,0,0,17,0,0,380,0,4485,1,1,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0,0.13,142,Large Business,Multinational Banks,SP108,M11,D8,VP 2,SP86,M11,D10,VP 1,0,1,16,0.15,1,14,0,0,0,0,0,0,0
460,4278.69,0,0,27,0,0,0,0,4278.69,0,0,27,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94,0,0.06,225,Small Business,,SP9,M6,D4,VP 2,SP9,M22,D1,VP 1,0.47,2,21,-0.35,0,12,0,0,0,0,0,0,0
464,9297.55,0,0,53,0,0,218.23,665.04,8414.28,1,3,49,1,1,0,0,605,485,3960,20,0,0,6,2,33,20,0,0,0,0,0,0,0,0.99,0,0.01,172,Large Business,Multinational Banks,SP24,M16,D13,VP 2,SP24,M16,D18,VP 1,0.43,7,41,-0.23,1,49,2,8,0,20,0,0,0
472,24076.48,0,0,168,0,0,129.2,9206.58,14740.7,1,22,145,44,5,0,0,9513,0,8160,191,73772,0,101,0,96,191,3,0,0,0,0,0,0,0.85,0.02,0.13,40,Large Business,Multinational Banks,SP85,M7,D5,VP 2,SP17,M7,D5,VP 1,0.66,28,51,0.14,1,185,25,185,0,63,1,5,0
493,2093,0,0,7,0,0,0,0,2093,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86,0,0.14,23,Small Business,Small Business,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,0,1,7,0.07,0,7,0,0,0,0,0,0,0
511,1690.64,0,0,12,0,0,190.64,0,1500,1,1,10,0,2,0,0,0,1470,0,0,0,0,1,5,4,0,0,0,0,0,0,0,0,0.68,0,0.32,77,Large Business,Credit Unions,SP117,M2,D2,VP 2,SP117,M2,D18,VP 1,0.5,10,8,-0.38,1,47,4,0,0,4,0,0,0
536,2473,0,0,9,0,0,380,0,2093,1,1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0.15,97,Large Business,Credit Unions,Unassigned,Unassigned,Unassigned,Unassigned,SP69,M11,D10,VP 1,0,2,8,0.1,1,6,0,0,0,0,0,0,0
559,12575.15,0,0,45,0,0,361,0,12214.15,1,1,43,0,0,0,0,631,410,0,16,0,0,4,2,0,16,0,0,0,0,0,0,0,0.93,0,0.07,139,Large Business,Multinational Banks,SP108,M11,D8,VP 2,SP86,M11,D10,VP 1,0.05,10,23,0.21,1,43,0,6,0,0,0,0,0
572,13818.7,690,0,220,1,0,100.4,525.3,13193,1,52,167,0,0,0,0,12993,0,6960,90,0,0,175,0,150,90,0,0,0,0,0,0,0,0.98,0,0.02,58,Large Business,Multinational Banks,SP134,M2,D2,VP 2,SP134,M2,D18,VP 1,0.74,12,51,-0.48,1,167,51,20,0,208,1,0,0
629,3289,0,0,11,0,0,0,0,3289,0,0,11,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,,,,180,Small Business,Small Business,SP49,M19,D14,VP 2,SP49,M18,D18,VP 1,0,1,11,0.1,0,12,0,0,0,0,0,0,0
639,5394.53,0,0,55,0,0,126.33,0,5268.2,1,1,53,0,0,0,0,2224,0,0,22,0,0,27,0,0,22,0,0,0,1,0,0,0,0.69,0.03,0.29,203,Large Business,Multinational Banks,SP38,M16,D13,VP 2,SP38,M16,D18,VP 1,0.67,13,35,-0.45,1,52,0,11,0,0,12,0,0
640,6762.4,0,0,29,0,0,304,0,6458.4,1,1,27,6,2,0,0,366,0,0,15,0,0,8,0,0,0,0,0,0,0,1,0,0,0.24,0.67,0.09,105,Large Business,Multinational Banks,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,0.2,4,18,0.09,1,32,0,1,0,0,0,0,0
692,21467.5,0,0,123,0,0,212.95,1482.47,19772.08,1,4,118,0,2,0,0,1559,7500,0,103,0,0,21,6,0,103,0,0,0,0,0,0,0,0.99,0.01,0,277,Large Business,Multinational Banks,SP117,M2,D2,VP 2,SP117,M2,D18,VP 1,0.44,22,51,0.11,1,116,3,12,0,0,0,0,0
746,42003.6,276.25,0,166,1,0,323,0,41680.6,1,1,164,1,5,0,0,9498,0,0,160,0,0,72,0,0,160,0,0,0,0,0,0,0,0.85,0,0.15,202,Large Business,Investment Firms,SP34,M12,D9,VP 2,SP34,M12,D5,VP 1,0.15,96,38,0.9,1,166,0,59,0,0,0,0,0
