ID,Default
1001,Yes
1002,Yes
1003,No
1004,No
1005,No
1006,No
1007,No
1008,No
1009,Yes
1010,Yes
1011,No
1012,No
1013,No
1014,No
1015,No
1016,No
1017,No
1018,No
1019,No
1020,No
1021,Yes
1022,No
1023,Yes
1024,Yes
1025,Yes
1026,No
1027,No
1028,No
1029,Yes
1030,No
1031,Yes
1032,No
1033,No
1034,No
1035,Yes
1036,No
1037,No
1038,Yes
1039,Yes
1040,No
1041,No
1042,Yes
1043,No
1044,No
1045,No
1046,No
1047,No
1048,Yes
1049,No
1050,Yes
1051,Yes
1052,No
1053,Yes
1054,Yes
1055,Yes
1056,Yes
1057,No
1058,No
1059,No
1060,Yes
1061,No
1062,No
1063,No
1064,No
1065,No
1066,No
1067,Yes
1068,No
1069,No
1070,No
1071,Yes
1072,No
1073,No
1074,No
1075,No
1076,No
1077,Yes
1078,No
1079,Yes
1080,No
1081,Yes
1082,No
1083,No
1084,No
1085,No
1086,No
1087,No
1088,No
1089,No
1090,Yes
1091,No
1092,No
1093,No
1094,No
1095,No
1096,Yes
1097,No
1098,Yes
1099,No
1100,No
1101,No
1102,No
1103,No
1104,Yes
1105,No
1106,No
1107,No
1108,No
1109,No
1110,No
1111,No
1112,No
1113,No
1114,No
1115,No
1116,No
1117,No
1118,Yes
1119,No
1120,Yes
1121,No
1122,No
1123,Yes
1124,No
1125,No
1126,No
1127,No
1128,Yes
1129,No
1130,No
1131,No
1132,No
1133,No
1134,Yes
1135,Yes
1136,Yes
1137,No
1138,No
1139,Yes
1140,No
1141,No
1142,No
1143,No
1144,Yes
1145,No
1146,No
1147,Yes
1148,Yes
1149,No
1150,No
1151,No
1152,No
1153,Yes
1154,No
1155,No
1156,No
1157,No
1158,No
1159,Yes
1160,No
1161,No
1162,No
1163,No
1164,No
1165,No
1166,No
1167,No
1168,No
1169,Yes
1170,Yes
1171,No
1172,Yes
1173,Yes
1174,Yes
1175,No
1176,Yes
1177,No
1178,No
1179,No
1180,Yes
1181,No
1182,No
1183,No
1184,Yes
1185,No
1186,Yes
1187,Yes
1188,No
1189,No
1190,No
1191,Yes
1192,No
1193,No
1194,No
1195,No
1196,No
1197,Yes
1198,No
1199,Yes
1200,No
1201,No
1202,No
1203,No
