item_id,item_price,product_type
C6880,2301,D040
F4939,1756.5,G822
E0383,412.5,B619
I777,1177.5,F264
B13705,633.5,B0239
B08843,476.5,H03
B29807,9059,C537
E4250,8928,J641
E9862,1434,I42
H7042,2016,G23
C29,1091.5,D248
H7286,4276,G864
D1157,976,D328
B07227,2067.5,E181
E7099,2233.5,H151
J5657,188.5,H233
B27016,3427,E036
J5953,1033.5,H203
B31809,633.5,G936
D1202,1776,H387
B18202,2013,H631
C066,537.5,B008
B16586,864,I836
B05684,2160,C33
F6109,1725,D362
D6828,956.5,G822
B31351,633.5,C563
G9889,1278.5,C882
J4488,1568,G939
B01701,1068.5,F810
D5668,3360,I817
B28999,8611,B0269
B00487,1097,F622
B10747,892.5,J857
H6718,5731,J375
B07757,993.5,H960
D7807,1293,J299
J1519,1319,G844
C5636,1088.5,E297
F636,3020.5,H203
J8364,1123,H121
H6721,3409.5,I305
B07246,1062.5,G822
D9762,3456,E517
B13717,1062.5,E216
G8507,1980.5,F251
C5885,421.5,G836
G7305,1149,H34
C8468,1382,F604
B547,5123,J641
E0044,1987,C494
D8939,11520,J196
B09074,3165,J337
D3600,1149,I834
D9332,165,I251
C6722,1437,B0541
D0298,4003,B619
B14803,3139,D416
J4166,1725,H47
I7231,1437,D236
J0108,2448,B147
B24451,2301,C528
E8571,1128.5,B552
J5715,5411,E822
J9251,1065.5,F622
E7564,1033.5,B236
C7843,3520,H738
D5485,1206.5,B0236
J2336,5408,C475
D1816,2589,F996
H1556,1596.5,J061
C1126,1120,B0351
G6134,2304,E422
B28784,284.5,H121
H9049,5856,B0083
F3714,1536,F835
J7401,1005,C802
D7678,2286,G661
E2250,480,H753
B24755,2851,J333
G2637,1148.5,C568
J9769,1725,I763
B16271,2563,B327
B9694,573,B2
H5232,508.5,C281
B22327,540.5,F435
B05759,6110.5,B0304
J5041,508.5,B713
B04375,224.5,J601
I7657,1722,I179
F9513,23328,I986
H3989,1177.5,J097
E1805,892.5,B732
H6979,2301,I744
I0517,835,J225
J8812,1699,D844
C3447,907,F897
H1303,1033.5,B0484
E6503,1177.5,G318
B30617,1160.5,F081
H4404,1321.5,H099
J611,1123,H036
B26662,2499.5,G661
F0110,4291,B0121
F1839,1168,I834
B7296,2563,E057
G0079,319.5,B24
F6405,10246,H899
B01807,918.5,H652
D4853,1033.5,G723
H6276,42880,D893
G817,2301,C528
J758,1510,H881
B24313,4995,J333
B19476,27168,B756
J197,2013,G044
B6370,1002,E297
D065,1180.5,G498
E1191,993.5,D737
C6233,348.5,F456
E6361,1149,C802
B0066,412.5,F897
H3519,7648,F637
B08364,1146,B529
B20035,921.5,I121
B6027,1036.5,H078
G689,1411,C967
C7854,6992,I274
B24555,3136,D184
F3206,1520.5,B683
E5348,2586,B380
H0269,976,I834
B05096,1379.5,C31
B9098,190,J582
D6602,1382,B0271
F4675,1123,E192
B4619,1612.5,B073
E5210,828.5,I577
H5794,16992,C740
B12538,441.5,D635
I3727,1065.5,J839
B25489,2937.5,J086
D1461,313.5,J976
E5974,502,I607
B22261,1293,E034
B10641,1382,C874
B9495,6710,I826
D5274,1792,B445
B14459,1116.5,I836
B01448,3558,G493
B16196,380.5,G186
B15184,1581,C874
G5680,1468.5,D034
J2520,1280,E144
G3885,1624,F622
J573,2589,J337
B11698,1581,J189
D5221,336,G681
G6990,412.5,C568
D0716,1492,B0304
H2575,2013,E222
B29681,9763,I994
F9285,1149,F267
B14844,915.5,I445
I3394,1324.5,H071
J5327,2292.5,C167
J2103,896,C719
G8183,269,C111
J094,540.5,C159
J3605,896,J926
C6388,3715,E646
F9726,2298,F441
B2363,889.5,G032
G5029,2211,I768
J1344,953.5,F34
B24636,4317,B073
D8692,25568,I189
E8082,1086,J008
B23917,1056,C44
H7623,4979.5,G325
F1987,1051,E260
B2901,1437,I890
H0661,31.5,F217
H7161,2580,B524
J0009,5379,B672
B06022,1137.5,B0146
D2965,947.5,E628
F5149,1024,C106
I7445,4547,C537
H5313,892.5,E279
B00824,1005,H203
B24919,5443,H962
B8240,752,E297
B05083,1725,B0484
C5602,2145.5,F604
B10266,1609.5,J790
G4539,1725,J432
G3691,2706,F783
G9605,1347.5,H22
E896,1321.5,I417
G8114,1411,J41
J5148,1699,D844
D4426,284.5,C839
B04672,3020.5,H203
B23986,1209.5,B225
E7984,1184,H182
H2075,3168,C884
B376,1531.5,B0356
E9332,1584,F814
E7931,1065.5,H103
D6974,636.5,J035
F2366,2298,I814
J156,1123,D134
G6077,1149,B884
E2991,1148.5,B0573
B07654,864,F497
B9331,748.5,H195
H2275,1146,F34
D2907,3136,E757
B8210,636.5,I834
I6652,1149,G840
B04636,636.5,E746
E3081,1722,H365
E2417,1411,D047
H4236,4096,C397
E0842,1273.5,I506
B22648,1206.5,B049
F97,1005,H753
E7414,12736,D779
B09706,1740,J86
B32106,1411,G936
E2651,1062.5,D717
G1726,1310,I577
J5587,829,H203
D6453,1177.5,F94
D8769,864,C065
I8203,947.5,J444
B27696,4579,E338
B05945,1062.5,B0351
G0203,3680,B0083
I9263,92.5,B446
C154,953.5,G498
J4345,17568,D184
J9312,704,C521
H958,2851,B0484
D643,2563,E057
C9321,2292,C431
B22389,732.5,B296
B01226,633.5,F098
D8209,688,B049
G7371,2133,G661
I1958,432,E645
E8806,1699,E434
I5855,1699,B529
J4971,1434,B0465
I6582,2960,C376
G2965,1987,I700
C9484,1725,F774
J956,889.5,H916
B03456,1852.5,C724
H9470,700.5,I506
H2781,1509,H753
J3256,2563,H671
B07450,924.5,D844
I6908,574,J578
J6655,1056.5,H562
C1585,924.5,B0405
D5731,313.5,G936
J170,734,J897
E5641,2275,J035
B11298,1725,C966
I2525,1149,H049
I8619,412.5,H652
E7441,889.5,J550
B23703,604.5,I606
I3852,648,F71
D0803,1094,J156
H4233,1897.5,B359
G7067,2013,I541
H4428,1915,G786
E9259,1788,F760
B30694,1062.5,G822
E9181,720,F622
E0461,819,C568
I4033,1488,F425
G086,2563,C56
C4733,1987,B529
F1277,406,F251
B0517,2275,G082
F0322,2301,J658
B26347,5702,D020
B27576,1149,B62
E3179,371.5,B236
E749,532.5,E147
G8395,5728,I052
I333,31.5,I475
B02483,1532,G661
H0114,1248,H069
H7571,1558,B0098
G116,2013,B0186
F8054,92.5,C31
I9995,4596.5,B0400
D7756,1175,I570
B14278,153.5,J988
C2119,3588,C874
D5560,2707,H966
D5303,1080,C111
C8856,279,E449
G8817,1203.5,B155
D315,2557,C455
F4914,604.5,C134
G2522,1275.5,H291
B23232,1437,F081
I5835,1166,E450
B19815,49753.5,H261
H8692,3797,F316
G9106,1261,D766
B6153,1005,C164
B8521,889.5,B312
B31380,720.5,J533
B3345,1152,B0465
H0010,1350.5,D839
F2971,1916.5,H945
F3565,947.5,D295
J1266,316.5,D328
G0905,6140,D009
H946,1568,J197
G7345,1987,J227
B312,26812.5,B0331
J4917,918.5,E141
E7079,540.5,I386
G5771,4579,J333
I9688,3741,J337
B25665,1209.5,F604
I8382,921.5,J865
B30811,1060.5,I131
D9434,1146,C065
I6735,1062.5,J780
E4700,3715,E857
B12444,1080,B0344
B27108,2420.5,I645
G2738,240,I04
C9933,2851,F888
B30178,866.5,E253
B02667,773.5,E414
G6414,1532.5,F441
B17633,1177.5,D934
F342,1411,G91
B11269,1149,G898
B2783,4835,J227
B29722,2301,H987
H698,1437,B0484
G7653,9334,B417
B7939,11104,B417
B18326,1725,F582
E7759,1722,B185
D2299,956,D766
F8038,3715,B0335
B23060,3971,C97
B1124,1916.5,H885
H5928,1699,I315
D6358,2108.5,G931
J1804,700.5,B417
G279,1792,J008
I8771,1065.5,J788
D6216,636.5,E628
D874,4345.5,F276
C2436,866.5,B713
G2846,10704.5,B0304
F6432,636.5,B008
B06285,41888,G941
C5154,813,J472
B3078,1699,D844
B01849,2016,D47
E4304,892.5,H030
D253,1149,J173
F0355,1120,G007
E904,1149,H34
F0177,2013,H226
I2914,4380,H599
B19185,2093.5,D644
B0835,685,D392
G2476,947.5,C111
C872,1149,C164
B3600,1725,F739
J2386,572.5,G633
F5854,7453,B0304
J9362,1152,H738
H3655,421,C636
F4262,278,B207
F3398,924,B0432
B2912,2851,J035
B16802,770.5,E773
J4491,990.5,F622
G9994,3020.5,H203
B28297,2056,G0
B8288,1408,F86
J6034,2275,C357
G3621,2010,D784
B09830,9278.5,F26
B00874,1080,C466
J9666,3948,D184
J3363,109,J723
D8994,1347.5,E524
E5144,1648,E967
J9018,630.5,G608
D4323,976,I797
G4848,1756.5,D755
E7493,864,D683
H8394,1146,E492
B32530,1180.5,H923
I1739,1278.5,E746
B5257,2499,D793
D0570,1840,I817
H3948,1392,H738
